,4xCO2,aer,anthro,ghg,lu
ACCESS-CM2,7.947338514527991,-1.0931099914462747,1.899131515625608,3.0379045701988643,
CanESM5,7.607362652672367,-0.8512934518345339,2.3737423916825318,2.8665463345516327,-0.07612946790873756
CESM2,8.912767832985665,-1.371577649225043,2.0525857596055754,3.0348858611775653,-0.03694905541677605
CNRM-CM6-1,7.999113798403339,-1.1548300400922442,1.6113824749825505,2.7427522191651343,
CNRM-ESM2-1,7.9263129381103,-0.7405640273631431,1.6628610527795298,2.5077544412300217,-0.06667667284064326
EC-Earth3,8.08787798237281,-0.8035758305713915,2.0944198847851414,2.745401139895216,-0.12791034486620334
GFDL-CM4,8.236141393946994,-0.7317061681967655,2.3383784788719932,3.1337600251272364,-0.3330748310221052
GFDL-ESM4,7.743826983327879,-0.6979206213087578,2.171351949596993,3.22582854664898,-0.275541211252854
GISS-E2-1-G,7.349846380808317,-1.3186315678724043,1.929005613489652,2.893539940794168,-0.00040598469960802106
GISS-E2-1-G,,-0.9274393807010018,,,
HadGEM3-GC31-LL,8.089091209294018,-1.1028390962378898,1.8101527604221603,3.1059810957127403,-0.10861306904614043
IPSL-CM6A-LR,8.041436671648231,-0.5934905039358019,2.325332912438564,2.856180770471489,-0.021431398324943996
IPSL-CM6A-LR,7.943249682068367,-0.7062585334377612,2.292075867454352,2.739968850005301,-0.11907007096766507
IPSL-CM6A-LR,8.043620132511764,-0.5923231647937933,2.36182811901886,2.8350185441160662,0.040130199634036
IPSL-CM6A-LR,7.9765331931240775,-0.6394198321517301,2.30552333796472,2.8446792157760936,-0.08595225223329132
MIROC6,7.323934862461697,-1.0593336515856724,1.798212156785845,2.687796329994921,-0.02656999730680689
MIROC6,,-1.0140393282470617,,,
MPI-ESM1-2-LR,8.345835043496496,,2.1317920311804857,2.6895507509767014,-0.09896797866600378
MRI-ESM2-0,7.650561396449387,-1.2060284668404722,1.9487734304628568,3.0287710217882697,-0.16594855483899945
NorESM2-LM,8.151879002144954,-1.2066236779581383,2.0578773423775605,2.797050923374114,0.2632879170234761
NorESM2-MM,8.378076082141586,-1.2612947718184968,,,
UKESM1-0-LL,7.940786425492853,-1.1054352552819202,1.7908696864824158,2.951242326239478,-0.1763245175762947
